word,weight
aba-aba,-3
abai,-3
abaikan,-2
abar-abar,-5
abdi negara,-3
abis,-2
abnormalitas,-4
abolisi,-3
abon,-4
aborsi,-3
abses,-4
abu-abu,-2
abuk,-3
abur,-5
acak,-5
acak-acakan,-5
acau,-4
aco-acoan,-5
acoan,-5
acu,-4
adang,-3
addict,-3
adegan,-4
adiktif,-4
adimarga,-4
adu,-3
agen,-3
agen rahasia,-3
ahli bahasa,-3
ahmak,-3
aiku,-5
ain,-5
air liur,-2
ajang,-3
aju,-3
ajuk,-5
akal bulus,-3
akik,-3
akreditasi,-3
aksa,-4
aksioma,-3
akumah,-3
akunya,-1
akut,-5
alah,-4
alahan,-3
alai-belai,-3
alat kelamin,-3
alat negara,-3
alat vital,-2
alay,-4
albumnya,-2
alergi,-3
alir udara,-1
aliran udara,-1
alkisah,-4
alku,-5
alobar,-4
alone,-3
alot,-2
alpa,-3
amah,-5
amandel,-5
amarah,-5
amat sangat,-3
amatin,-2
ambai,-5
ambalan,-4
ambau,-5
ambigu,-3
ambiguitas,-5
amblas,-3
ambles,-4
ambruk,-5
amburadul,-5
ametis,-4
amit,-4
amoral,-3
ampai,-4
ampas,-3
ampas kopi,-2
ampel,-3
ampela,-5
ampuni,-2
amtenar,-3
anak air,-4
anak bawang,-2
anak bedil,-3
anak bukit,-4
anak cucu,-3
anak penak,-3
anak pinak,-3
anak-anakan,-3
analitis,-4
anarki,-4
ancai,-5
ancam,-4
ancaman,-4
andeka,-3
aneh,-2
anggai,-3
anggara,-4
anggota,-3
anggur,-4
angguran,-4
angin lalu,-5
angit,-5
angkat kaki,-3
angkat tangan,-3
angkat topi,-4
angkatan,-5
angkot,-1
angkup,-3
anglo,-4
aniaya,-4
anjeng,-5
anjer,-3
anjg,-5
anjing tanah,-5
anjis,-1
anjlok,-4
anjungan,-3
anjur,-2
anom,-4
antagonisme,-4
antap,-5
antek,-3
antem,-2
anti,-2
antitesis,-3
antuk,-4
antun,-3
anyir,-4
apalah,-2
apanya,-3
aparat,-3
aparatus,-3
apasih,-4
apek,-4
apes,-5
api-api,-4
apit,-3
apiun,-3
apkir,-4
apkiran,-4
aral melintang,-3
aras,-2
arbitrer,-5
arca,-3
argumen,-4
arik,-3
armada,-5
arsip,-5
aru,-5
aru-aru,-4
arus udara,-4
asah,-3
asak,-3
asal usul,-4
asal-asalan,-5
asam,-2
asan tak asan,-5
asfal,-5
asid,-5
asor,-5
aspek,-3
aspiran,-5
astagfirulloh,-4
astaghfirullah,-3
asumsi,-3
asusila,-5
aswad,-4
atresia,-3
atribut,-3
atuh,-1
atut,-2
aur,-3
aurat,-2
aus,-5
auta,-4
awa-,-3
awan kelabu,-3
awi,-3
awur,-4
awut,-4
awut-awutan,-5
ayal,-3
ayat,-4
azab,-5
babak,-4
babar,-1
babi buta,-3
babil,-4
bablas,-5
babu,-5
bacar mulut,-4
bacok,-4
bad,-4
badai,-4
badmood,-4
badung,-4
bagaimana pun,-2
bagal,-3
bah,-3
bahala,-3
bahaya,-5
bahlul,-5
bahtera,-3
baiat,-3
bait,-3
bajak,-4
baktau,-5
bala,-5
bala bencana,-5
balairung,-3
balela,-4
bales,-3
balesnya,-2
balik adab,-5
balik akal,-4
balik gagang,-5
balkon,-3
balung,-4
bambu,-3
bambung,-3
banal,-3
banat,-4
bancang,-5
banci,-5
bandang,-4
bandar,-4
bandel,-5
bandit,-5
bando,-4
bangang,-3
bangbung,-4
bangett,-2
bangkai,-4
bangkang,-4
bangkot,-4
bangkrut,-5
bangle,-4
bangsal,-3
bangsat,-5
bantah,-3
bantai,-5
bantar,-4
banteng,-3
bantet,-3
banyak bicara,-3
banyak cakap,-4
banyak cincong,-4
banyak mulut,-4
banyol,-3
baperan,-4
bapet,-4
barang bekas,-4
barbar,-5
baret,-3
barkas,-5
barua,-5
barut,-3
barzakh,-4
basi,-5
basmi,-5
bastar,-2
batal,-5
batalion,-5
batas waktu,-3
batel,-4
baterai,-3
batil,-4
batu berdahak,-4
batu loncatan,-3
batuk darah,-4
batuk kecil,-4
batuk kering,-3
batuk lelah,-4
batuk-batuk,-4
batung-batung,-4
bau,-4
bau kencur,-4
bawain,-3
bawel,-4
baya,-4
bebal,-3
beban,-5
bebat,-3
bebel,-5
becek,-4
bedegong,-4
bedel,-4
bedeng,-3
bedol,-4
begadang,-3
begah,-2
begak,-3
begal,-5
begana-begini,-4
begitu saja,-2
bego,-3
begu,-4
beguk,-4
begundal,-3
bejat,-5
bekap,-3
bekas,-2
bekicot,-4
belah,-5
belah ketupat,-4
belai,-4
belaian,-3
belain,-2
belaka,-1
belam,-3
belang,-5
belati,-4
belembang,-5
belendung,-3
belenggu,-3
beleter,-4
belia,-2
beliin,-1
beling,-1
belingsat,-4
belinjo,-3
belis,-4
belit,-3
beloh,-5
beloon,-3
belot,-5
belu-belai,-4
belulang,-3
belum,-2
benah hati,-3
bencana,-5
bencat,-5
benci,-5
bencong,-5
bendel,-5
bendera,-3
benderang,-3
bendoro,-4
bendu,-4
bendung,-3
bengal,-4
bengap,-3
bengis,-5
bengkak,-4
bengkak hati,-3
bengkerap,-4
bengkok,-4
bengok,-4
benguk,-2
benjut,-4
bentak,-5
bentakan,-5
bentan,-4
bentrok,-5
bentul,-3
benyot,-4
beol,-5
beperkara,-4
beradu,-4
beradu lidah,-3
beradu mulut,-4
beraduk,-3
beragam,-3
berair,-1
berak,-4
berak air,-4
berakhlak,-4
beralasan,-4
beralaskan,-4
beralih,-3
beralih bentuk,-3
berambu-rambu,-4
beramuk,-4
beramuk-amukan,-4
beranak bercucu,-3
beranak cucu,-3
beranak pinak,-3
beranang,-3
berandalan,-5
berang,-5
berangai,-5
berangan,-3
beranggar lidah,-3
berangkal,-3
berangkat,-4
berangsang,-5
berangsur,-3
beranjak,-3
berantak,-4
berantakan,-5
berantara,-3
berantem,-4
berapat-rapat,-3
berapit,-4
berasa,-2
berasak,-3
berasal,-3
berasimilasi,-3
berat ekor,-4
berat hati,-4
berat kepala,-5
berat otak,-4
berat pinggul,-2
berat sebelah,-4
berat tangan,-4
berat telinga,-3
berat tulang,-4
berawan,-3
berbabil,-4
berbadan dua,-3
berbahaya,-4
berbakti,-3
berbalik,-5
berbanding,-3
berbantah,-5
berbantahan,-3
berbayar,-3
berbecak-becak,-3
berbeda,-4
berbelit-belit,-4
berbenturan,-4
berbiak,-3
berbicara,-3
berbisa,-5
berbohong,-4
berbondong-bondong,-3
berburu,-3
berburuk,-4
bercak,-5
bercakar-cakaran,-4
bercaran,-4
bercat,-3
bercedera,-4
bercekak,-3
bercekcok,-4
bercekit,-4
bercelah,-3
berceloteh,-4
bercempera,-5
bercengkerama,-2
bercerai-berai,-5
bercikun-cikun,-5
bercintaan,-3
bercorak,-3
bercucuran,-5
bercumbu,-4
bercumbuan,-3
bercumbu-cumbu,-3
bercura,-4
berdakwa,-4
berdalih,-4
berdampingan,-3
berdarah dingin,-4
berdasarkan,-4
berdaulat,-3
berdebat,-5
berdekatan,-4
berdekus,-3
berdengung,-3
berdengus,-3
berderum,-4
berdesakan,-3
berdesir,-2
berdikit-dikit,-3
berdompol,-4
berdosa,-4
berduaan,-3
berduka,-5
berdusta,-4
berduyun-duyun,-3
